Message,Sentiment
I appreciate the discussion we had.,positive
What a wonderful this meal.,positive
Life feels amazing with the surprise event.,positive
This makes me smile this challenge.,positive
I appreciate the surprise event.,positive
I appreciate the weather today.,positive
What an awful the view outside.,negative
I'm frustrated with this challenge.,negative
What a wonderful the weather today.,positive
I hate the surprise event.,negative
Life feels amazing with the new experience.,positive
I'm happy about the current state of affairs.,positive
What an awful my achievements.,negative
I enjoy this song.,positive
What an awful the outcome.,negative
I'm disappointed in this song.,negative
Life feels amazing with the weather today.,positive
What an awful the situation.,negative
What an awful this opportunity.,negative
Life feels bad with the view outside.,negative
Life feels bad with the new experience.,negative
I love the surprise event.,positive
I'm happy about this opportunity.,positive
I'm happy about this meal.,positive
What a wonderful the discussion we had.,positive
I'm sad about the recent news.,negative
I'm proud of the new experience.,positive
This makes me cry this challenge.,negative
I'm sad about this opportunity.,negative
What an awful the current state of affairs.,negative
I dislike the new experience.,negative
This is great the current state of affairs.,positive
I'm disappointed in my achievements.,negative
This is terrible this opportunity.,negative
I hate this meal.,negative
I regret the discussion we had.,negative
I'm proud of the recent news.,positive
I'm excited for the recent news.,positive
Life feels bad with this challenge.,negative
This is terrible this challenge.,negative
I'm sad about the discussion we had.,negative
This is great the surprise event.,positive
I'm frustrated with the current state of affairs.,negative
I'm frustrated with this meal.,negative
I'm excited for my achievements.,positive
This is terrible the view outside.,negative
I'm sad about my achievements.,negative
I dislike the recent news.,negative
This makes me smile the view outside.,positive
This is terrible the recent news.,negative
This is great this meal.,positive
Life feels bad with this song.,negative
I love my achievements.,positive
I'm happy about the weather today.,positive
I enjoy this meal.,positive
What a wonderful the view outside.,positive
I regret the surprise event.,negative
I'm sad about the current state of affairs.,negative
Life feels bad with this opportunity.,negative
I'm sad about the situation.,negative
I'm excited for the view outside.,positive
I'm happy about the outcome.,positive
Life feels amazing with the recent news.,positive
I'm sad about the weather today.,negative
I'm sad about this song.,negative
This is great the discussion we had.,positive
I enjoy the situation.,positive
This makes me cry the outcome.,negative
This makes me smile the people around me.,positive
I enjoy the surprise event.,positive
I'm proud of this song.,positive
I'm frustrated with the outcome.,negative
I dislike this meal.,negative
This is great this opportunity.,positive
This makes me cry the discussion we had.,negative
I enjoy the recent news.,positive
I'm excited for the new experience.,positive
What a wonderful the recent news.,positive
I hate the new experience.,negative
Life feels bad with the current state of affairs.,negative
This makes me smile the current state of affairs.,positive
I dislike this challenge.,negative
I'm sad about the new experience.,negative
I love the situation.,positive
I hate this challenge.,negative
I regret the outcome.,negative
I dislike the view outside.,negative
I'm sad about this meal.,negative
I'm happy about the surprise event.,positive
I'm frustrated with the view outside.,negative
I'm disappointed in this meal.,negative
I dislike this opportunity.,negative
Life feels bad with this meal.,negative
I'm frustrated with my achievements.,negative
I'm happy about this challenge.,positive
I enjoy the people around me.,positive
I'm sad about this challenge.,negative
This is great the people around me.,positive
I'm proud of the people around me.,positive
I dislike this song.,negative
I regret this challenge.,negative
I love the people around me.,positive
I'm excited for the discussion we had.,positive
This is terrible my achievements.,negative
I'm proud of the surprise event.,positive
This is great the outcome.,positive
I'm disappointed in the weather today.,negative
I'm excited for this meal.,positive
This makes me smile the discussion we had.,positive
I enjoy the weather today.,positive
I'm sad about the surprise event.,negative
I love the weather today.,positive
I'm disappointed in this opportunity.,negative
I love this opportunity.,positive
I'm proud of this meal.,positive
I enjoy the new experience.,positive
I love this challenge.,positive
I'm frustrated with the surprise event.,negative
I dislike the current state of affairs.,negative
I hate the discussion we had.,negative
This makes me smile the situation.,positive
I appreciate this challenge.,positive
What an awful the recent news.,negative
I'm happy about the recent news.,positive
I'm disappointed in the recent news.,negative
Life feels amazing with the discussion we had.,positive
What an awful the people around me.,negative
I'm proud of this challenge.,positive
I'm proud of the weather today.,positive
I'm disappointed in this challenge.,negative
This makes me cry my achievements.,negative
I love the view outside.,positive
I'm proud of the situation.,positive
I regret this meal.,negative
I hate the recent news.,negative
I'm happy about this song.,positive
What an awful the weather today.,negative
I'm excited for the outcome.,positive
I hate this opportunity.,negative
What a wonderful the surprise event.,positive
Life feels amazing with this song.,positive
I'm proud of this opportunity.,positive
I hate this song.,negative
I love the new experience.,positive
I appreciate the situation.,positive
I'm disappointed in the outcome.,negative
